### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 01:16:40] Loading new learner LearnerClassifCWB
[2021-08-02 01:16:40] Loading new learner LearnerClassifHCWB
[2021-08-02 01:16:40] Loading new learner
[2021-08-02 01:16:40] Loading tasks
[2021-08-02 01:16:43] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=48]
### [bt]: Generating problem instance for problem '7592-fold5' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold5' for job 48 (seed = 31463) ...
DEBUG [01:16:44.815] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [01:16:44.897] [mlr3]  Calling train method of Learner 'acc_acwb' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
3250/5000   risk = 0.53  oob_risk = 0.59   test_auc = 0.11   time = 74184264   val_auc = 0.12   
3375/5000   risk = 0.6  oob_risk = 0.66   test_auc = 0.12   time = 77472967   val_auc = 0.13   
3500/5000   risk = 0.67  oob_risk = 0.72   test_auc = 0.13   time = 80887338   val_auc = 0.14   
3625/5000   risk = 0.76  oob_risk = 0.79   test_auc = 0.14   time = 84454935   val_auc = 0.15   
3750/5000   risk = 0.85  oob_risk = 0.86   test_auc = 0.14   time = 87765598   val_auc = 0.15   
3875/5000   risk = 0.88  oob_risk = 0.88   test_auc = 0.14   time = 91067623   val_auc = 0.14   
4000/5000   risk = 0.91  oob_risk = 0.9   test_auc = 0.14   time = 94373490   val_auc = 0.14   
4125/5000   risk = 1  oob_risk = 1   test_auc = 0.14   time = 97678352   val_auc = 0.14   
4250/5000   risk = 1.2  oob_risk = 1.2   test_auc = 0.16   time = 100887430   val_auc = 0.16   
4375/5000   risk = 1.4  oob_risk = 1.5   test_auc = 0.17   time = 104161550   val_auc = 0.17   
4500/5000   risk = 1.5  oob_risk = 1.6   test_auc = 0.17   time = 107162436   val_auc = 0.17   
4625/5000   risk = 1.6  oob_risk = 1.7   test_auc = 0.16   time = 110457657   val_auc = 0.16   
4750/5000   risk = 1.7  oob_risk = 1.8   test_auc = 0.16   time = 113406157   val_auc = 0.16   
4875/5000   risk = 1.9  oob_risk = 2.1   test_auc = 0.17   time = 116475856   val_auc = 0.17   
5000/5000   risk = 2.2  oob_risk = 2.4   test_auc = 0.17   time = 119543814   val_auc = 0.18   


Train 5000 iterations in 121 Seconds.
Final risk based on the train set: 2.2

DEBUG [01:18:49.848] [mlr3]  Learner 'acc_acwb' on task 'Task 7592: adult (Supervised Classification)' succeeded to fit a model {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>, result: <list>, messages: }

### [bt]: Job terminated successfully [batchtools job.id=48]
### [bt]: Calculation finished!
